Perfume;Brand;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
accento-overdose-pride-edition;xerjoff;unisex;1,42;201;2022;fruity notes, aldehydes, green notes;bulgarian rose, egyptian jasmine, lily-of-the-valley;eucalyptus, pine;rose;woody;fruity;aromatic;floral
classique-pride-2024;jean-paul-gaultier;women;1,86;70;2024;yuzu, citruses;orange blossom, neroli;musk, blonde woods;citrus;white floral;sweet;fresh;musky
classique-pride-2023;jean-paul-gaultier;unisex;1,91;285;2023;blood orange, yuzu;neroli, orange blossom;musk, white woods;citrus;white floral;sweet;fresh spicy;musky
pride-edition-man;bruno-banani;men;1,92;59;2019;guarana, grapefruit, red apple;walnut, lavender, guava;vetiver, benzoin, amber;fruity;nutty;woody;tropical;
le-male-pride-collector;jean-paul-gaultier;men;1,93;632;2020;mint, lavender, cardamom, artemisia, bergamot;caraway, cinnamon, orange blossom;vanilla, sandalwood, amber, cedar, tonka bean;aromatic;warm spicy;fresh spicy;cinnamon;vanilla
le-male-pride-2023;jean-paul-gaultier;men;1,95;531;2023;yuzu, blood orange;neroli, orange blossom;musk, white woods;citrus;white floral;sweet;fresh spicy;green
le-male-pride-2024;jean-paul-gaultier;men;1,95;285;2024;citruses, yuzu;neroli, orange blossom;woodsy notes, musk;white floral;citrus;fresh;soapy;
polo-red-pride-edition;ralph-lauren;men;2,05;107;2020;cranberry, pink grapefruit, citron;clary sage, lavender, saffron;amberwood, brazilian redwood, coffee;woody;amber;citrus;warm spicy;aromatic
ralph-pride-edition;ralph-lauren;women;2,12;50;2020;tangerine, green apple, freesia;magnolia, lime (linden blossom), osmanthus;musk, white iris;citrus;fruity;floral;sweet;green
waffle;we-pink;women;2,41;27;2023;strawberry, almond, raspberry;butter, peach blossom, violet;praline, vanilla, musk;powdery;musky;violet;fruity;fresh
le-male-pride-edition;jean-paul-gaultier;men;2,53;662;2022;blood orange, yuzu;neroli, orange blossom;musk, white woods;citrus;white floral;fresh spicy;sweet;musky
rouge-imperiale;vivamor-parfums;unisex;2,62;26;2023;saffron, bulgarian rose;australian sandalwood, iris, jasmine;suede, bourbon vanilla, texas cedar;leather;warm spicy;rose;powdery;metallic
french-kiss;bybozo;women;2,65;26;2023;lemon verbena, neroli;fig, corn, magnolia, saffron, barberry, cherry blossom;pear wood, meringue, amber;fruity;woody;sweet;floral;citrus
erba-oud;sospiro-perfumes;unisex;2,66;65;2022;orange, bergamot, lemon;melon, saffron, peach, apple;agarwood (oud), leather, vanilla, amber, white musk;citrus;oud;fruity;leather;sweet
glamour-gold-glam;o-boticario;women;2,69;118;2022;raspberry, neroli, bergamot;jasmine, orange blossom, tuberose;clearwood, amber, sandalwood, patchouli, cistus incanus;woody;white floral;fruity;sweet;amber
visionair-midnight-blue;michael-malul-london;men;2,71;42;2020;watermelon, lavender, bergamot;lotus, jasmine;musk, sandalwood, amber;ozonic;aquatic;lavender;citrus;floral
malbec-sport;o-boticario;men;2,72;299;2016;nutmeg, cardamom, lime, bergamot, mandarin orange, juniper;lavender, geranium, head space waterfall, sage;leather, patchouli, sandalwood, musk, amber, cedar, moss, vetiver, tonka bean;leather;fresh spicy;warm spicy;woody;aromatic
cyber-sex;filippo-sorcinelli;unisex;2,74;70;2021;juniper berries, pink grapefruit, mandarin orange, neroli;rosemary, spices, cyclamen, lavender, almond blossom;ambrette (musk mallow), vetiver, cedar, precious woods, vanilla, tonka bean;aromatic;fresh spicy;woody;citrus;musky
classique-pride-edition;jean-paul-gaultier;women;2,75;174;2022;yuzu, blood orange;neroli, orange blossom;musk, white wood;citrus;white floral;musky;woody;fresh spicy
oud-imperium;navitus-parfums;unisex;2,81;62;2019;apple, lavender, lemon;jasmine, vanilla, woody notes, lily-of-the-valley;agarwood (oud), amber, tonka bean, sandalwood, cypriol oil or nagarmotha, musk, guaiac wood;woody;vanilla;amber;powdery;oud
vetiver;franck-boclet;unisex;2,81;32;2018;bergamot, lemon, orange;vetiver, orange blossom, lily-of-the-valley, rose, jasmine;vetiver, musk, sandalwood, cedar, chive;citrus;white floral;woody;aromatic;musky
cristina-la-veneno-veneno-pa-tu-piel;ricardo-ramos-perfumes-de-autor;unisex;2,82;55;2020;tonic water, gin, berry fruits;vinyl, blood, saffron, turkish rose;madagascar vanilla, musk, galbanum, sandalwood;vinyl;mineral;metallic;aromatic;
quickie-and-coffee;filippo-sorcinelli;unisex;2,82;33;2024;coffee, honey, pine;animal notes, saffron, marine notes, jasmine;musk, ambrette, amber;musky;warm spicy;animalic;coffee;powdery
aventhis;in-the-box;men;2,83;65;2019;bergamot, pineapple, apple, black currant leaf;birch, patchouli, red berries, jasmine;oakmoss, musk, amber, vanilla;fruity;mossy;woody;earthy;citrus
212-heroes-collector-edition;carolina-herrera;men;2,84;31;2023;pear, cannabis, lemon zest, ginger;african geranium;leather, woodsy notes;leather;woody;aromatic;citrus;cannabis
snow-palace;brocard;women;2,88;33;2023;ozonic notes, aquatic notes, aldehydes;white musk, lily of the valley, bergamot;sandalwood, amber;ozonic;aldehydic;fresh;marine;musky
neroli-outrenoir-2024;guerlain;unisex;2,89;27;2024;petitgrain, bergamot, lemon, tangerine, grapefruit;tea, neroli, earthy notes, orange blossom, smoke;benzoin, vanilla, ambrette (musk mallow), myrrh, moss;citrus;green;white floral;fresh spicy;aromatic
oud-luxuria;navitus-parfums;unisex;2,91;69;2019;turkish rose, saffron, leather, red berries, orange, cinnamon;geranium, rose, jasmine, osmanthus;agarwood (oud), incense, musk, labdanum, amber;rose;fresh spicy;oud;warm spicy;amber
whispers-of-temptation;house-of-sillage;unisex;2,92;37;2021;black currant, plum, cardamom;saffron, rose petals, night blooming jasmine;suede, agarwood (oud), australian sandalwood;fruity;oud;woody;warm spicy;leather
spring-bloom;brocard;unisex;2,93;42;2021;citruses, green notes, watery notes, mint;peony, apple, rose, lily-of-the-valley, plum;musk, woody notes, amber;fresh;green;floral;rose;musky
laaurora;ricardo-ramos-perfumes-de-autor;unisex;2,93;29;2017;bergamot, cardamom, violet;turkish rose, atlas cedar, carnation;olibanum, gurjan balsam, cashmere musk;warm spicy;citrus;aromatic;rose;fresh spicy
desir-infini;navitus-parfums;unisex;2,94;34;2023;italian lemon, red fruits;geranium, saffron;woodsy notes, oud, leather, smoke, amber;woody;smoky;leather;oud;fresh spicy
cafe;franck-boclet;unisex;2,94;197;2019;coffee, bergamot, lemon;lily, rosemary, orange blossom, rose;moss, patchouli, sandalwood, vanilla, amber, cedar, vetiver;woody;warm spicy;earthy;white floral;coffee
1-million;paco-rabanne;men;2,95;149;2014;blood orange, grapefruit, mint;cinnamon, spices, rose;leather, amber, white woods, patchouli;citrus;warm spicy;cinnamon;leather;woody
erato;brocard;women;2,95;43;2017;coriander, lemon, orange;strawberry, violet, spun sugar, raspberry;vanilla, musk, sandalwood, palisander rosewood, tolu balsam, amber;sweet;powdery;fruity;vanilla;woody
new-look-2024;dior;unisex;2,96;395;2024;aldehydes;frankincense;amber;amber;aldehydic;fresh;fresh spicy;soapy
morayma;ricardo-ramos-perfumes-de-autor;women;2,96;26;2016;fig leaf, guava, coriander, grapefruit;gardenia, jasmine, magnolia, chamomile, narcissus;musk, hay, orris root;white floral;green;musky;herbal;lactonic
flowers;franck-boclet;unisex;2,96;56;2018;basil, lime, bergamot;lily-of-the-valley, neroli, tuberose, rose;ylang-ylang, musk, sandalwood;white floral;green;fresh;fresh spicy;citrus
popper-pop;filippo-sorcinelli;unisex;2,96;48;2021;sweet almond, red apple, mint, nashi pear;orchid, magnolia, davana, pitosporum;woody notes;fruity;almond;floral;sweet;nutty
kaorishiro;dilis-parfum;women;2,96;46;2013;lemon verbena, jasmine;hyacinth, musk, lemon;galbanum, cedar, moss;green;citrus;floral;musky;fresh spicy
lesnaa-malina-i-dusica-wild-raspberries-and-oregano;brocard;women;2,97;124;2021;raspberry, watery notes, wild strawberry;rose hip, violet;caramel, musk, oakmoss;fruity;sweet;caramel;rose;musky
roma-eau-de-toilette-rosa;laura-biagiotti;women;2,97;61;2017;wild berries, bergamot;rose, jasmine, peony, neroli;vanilla, musk, sandalwood;vanilla;floral;rose;powdery;fruity
campus;molinard;unisex;2,97;34;2022;pineapple, apple, lemon;geranium, lavender, sandalwood;patchouli, amberwood, musk;fruity;fresh spicy;aromatic;woody;lavender
veneno;miguel-matos;unisex;2,97;31;2018;narcissus, cypriol oil or nagarmotha, saffron, osmanthus;cade oil, civet, patchouli, lily-of-the-valley, amber, rose;peru balsam, costus, musk, ambrette (musk mallow), oakmoss, tonka bean;woody;musky;amber;earthy;balsamic
slightly-b-tch;filippo-sorcinelli;unisex;2,97;34;2021;leather, clementine, mint, bitter orange, green almond;ylang-ylang, artemisia, hawthorn, labdanum;cedar, pine tree;yellow floral;sweet;woody;aromatic;fresh spicy
egeo-on-you;o-boticario;unisex;2,99;136;2019;mint, eucalyptus, cardamom, pineapple, bergamot, peach, melon;fenugreek, woody notes, sage, green leaves, lavender, galbanum;milk, vetiver, benzoin, sandalwood, amber, musk;aromatic;woody;fresh spicy;green;warm spicy
uviolet;faberlic;women;2,99;97;2018;green leaves, pink grapefruit;flowers, magnolia, orchid, blackberry;white wood, amber, vanilla;floral;green;citrus;fruity;
little-mermaid;disney;women;3;26;2020;jasmine sambac;tuberose;almond;white floral;tuberose;almond;animalic;
wild-orange;fragrance-du-bois;unisex;3;28;2023;orange, mandarin orange, lemon, bergamot;orange blossom, lily of the valley, cypress;sandal, cedar, patchouli, vetiver;citrus;white floral;woody;sweet;fresh
vf-virginia-fonseca-honey;we-pink;women;3;29;2023;blood orange, peach, cardamom;rum, cognac, jasmine;vanilla, patchouli, sandalwood;woody;rum;warm spicy;citrus;sweet
chic-blossom;haute-fragrance-company-hfc;women;3,01;85;2017;indian jasmine, italian lemon, italian mandarin;jasmine sambac, amber;musk, benzoin, tobacco;white floral;musky;amber;powdery;citrus
synthetic-nature;frederic-malle;unisex;3,02;58;2024;black currant, lily of the valley, basil;jasmine, hyacinth, ylang ylang;patchouli;white floral;fruity;green;fresh spicy;floral
sweet-sin;vivamor-parfums;unisex;3,02;40;2023;peach, dried apricot;rum, benzoin, tonka bean;indonesian patchouli leaf, madagascar vanilla, white musk;fruity;sweet;warm spicy;patchouli;amber
tutti-twilly-d-hermes;hermes;women;3,03;615;2023;litchi;ginger flower;musk;fruity;warm spicy;fresh;tropical;musky
